food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium
Fruits,36.39,78.47,11.53,4.78,86.97,Animal Feed,12.66,5.71,6.75,4.28,1.5,0.29,0.8
Meat,35.83,55.1,38.14,10.41,93.47,Compost,13.4,3.95,27.72,24.94,3.45,0.87,0.68
Fruits,2.73,83.86,12.27,15.42,91.67,Biogas,1.0,0.46,-3.15,-16.11,1.17,0.6,0.59
Mixed,12.53,72.5,19.53,19.09,87.83,Biogas,4.4,1.82,0.44,-14.75,0.86,0.46,0.88
Grains,28.69,22.3,41.33,23.12,97.51,Compost,11.19,1.28,18.21,3.36,1.0,0.28,0.42
Mixed,47.61,80.47,26.08,0.69,82.85,Animal Feed,15.78,7.66,25.4,29.92,0.79,0.24,1.21
Vegetables,22.57,77.05,43.81,3.94,97.65,Animal Feed,8.81,3.48,39.87,44.69,1.39,0.45,1.26
Mixed,17.32,66.34,60.54,2.82,94.03,Animal Feed,6.51,2.3,57.72,67.0,1.24,0.42,0.72
Fruits,27.65,41.81,85.69,24.47,96.56,Compost,10.68,2.31,61.22,53.88,1.8,0.51,0.79
Vegetables,13.11,91.89,66.07,7.29,98.99,Animal Feed,5.19,2.41,58.79,64.72,1.05,0.34,1.08
Mixed,1.53,40.26,49.45,12.35,89.09,Compost,0.55,0.12,37.1,34.64,1.03,0.27,0.79
Fruits,1.45,83.93,65.02,16.61,91.24,Biogas,0.53,0.24,48.41,44.81,0.73,0.42,0.59
Vegetables,26.8,89.78,95.06,4.44,90.81,Donation,9.73,4.81,90.62,105.19,1.34,0.52,1.39
Mixed,32.57,65.54,49.97,9.2,89.28,Animal Feed,11.63,4.27,40.76,41.55,0.99,0.43,1.11
Grains,26.3,10.39,60.31,13.59,96.41,Compost,10.14,0.55,46.71,45.18,1.15,0.34,0.38
Vegetables,37.18,92.6,38.43,25.56,92.35,Biogas,13.74,6.89,12.87,-5.01,1.61,0.41,1.08
Meat,29.86,56.87,58.01,24.64,94.38,Compost,11.27,3.4,33.38,20.34,2.17,1.04,0.51
Fruits,17.53,83.38,86.62,18.09,80.39,Compost,5.64,2.92,68.53,67.76,1.57,0.27,1.11
Fruits,16.3,50.29,68.04,11.82,87.75,Compost,5.72,1.64,56.21,58.0,1.31,0.3,0.91
Meat,2.8,66.7,86.98,22.43,91.5,Biogas,1.03,0.37,64.55,59.52,3.06,1.05,0.38
Grains,35.82,27.35,42.17,3.29,99.88,Animal Feed,14.31,1.96,38.88,44.03,1.1,0.29,0.42
Vegetables,44.24,79.02,44.83,10.95,96.21,Biogas,17.02,6.99,33.89,31.91,1.72,0.57,1.09
Mixed,41.91,61.59,22.37,23.17,95.83,Biogas,16.07,5.16,-0.8,-19.5,0.92,0.52,0.68
Grains,6.27,15.47,65.39,22.82,97.01,Compost,2.43,0.19,42.57,32.83,0.98,0.31,0.46
Vegetables,29.77,93.53,33.32,21.01,96.11,Biogas,11.44,5.57,12.31,-2.04,1.69,0.65,1.34
Mixed,1.53,79.16,65.64,11.71,83.94,Compost,0.51,0.24,53.92,55.33,1.55,0.39,0.78
Vegetables,22.15,88.58,2.05,18.91,95.01,Biogas,8.42,3.92,-16.86,-35.36,1.64,0.56,1.35
Grains,23.37,26.37,3.83,0.81,97.74,Animal Feed,9.14,1.23,3.02,2.98,1.03,0.33,0.48
Vegetables,22.44,75.89,27.88,9.65,99.84,Animal Feed,8.96,3.41,18.23,14.15,1.57,0.7,1.31
Vegetables,35.24,81.84,56.32,20.07,95.18,Biogas,13.42,5.77,36.25,27.44,1.78,0.55,1.22
Vegetables,21.06,75.78,48.98,6.59,99.79,Animal Feed,8.41,3.19,42.39,45.59,1.46,0.52,1.2
Grains,2.94,28.1,58.14,29.28,99.09,Compost,1.17,0.17,28.86,11.22,1.07,0.37,0.45
Fruits,49.93,66.47,77.44,0.02,83.68,Animal Feed,16.71,6.64,77.42,92.89,0.98,0.59,0.81
Grains,12.53,27.5,24.04,2.85,95.76,Animal Feed,4.8,0.69,21.19,23.15,0.88,0.34,0.43
Vegetables,25.73,86.04,85.73,24.5,93.27,Biogas,9.6,4.43,61.24,53.89,1.47,0.46,1.23
Mixed,46.89,56.03,45.49,16.56,87.19,Compost,16.35,5.25,28.93,21.47,1.02,0.44,0.65
Vegetables,2.3,87.98,5.97,14.17,90.2,Biogas,0.83,0.41,-8.2,-21.17,1.43,0.42,1.58
Grains,42.88,24.65,98.43,15.44,95.4,Compost,16.36,2.11,82.99,87.24,0.93,0.25,0.39
Meat,34.46,71.25,17.15,10.4,87.16,Biogas,12.02,4.91,6.75,-0.23,2.49,1.1,0.53
Mixed,39.26,52.72,67.48,23.36,90.15,Compost,14.16,4.14,44.12,34.26,1.12,0.14,0.53
Fruits,8.61,77.03,45.45,5.91,84.59,Animal Feed,2.91,1.33,39.54,42.72,0.94,0.49,0.77
Vegetables,24.18,89.07,7.63,27.9,99.97,Biogas,9.67,4.31,-20.27,-46.64,1.57,0.53,1.29
Vegetables,46.16,71.89,55.72,11.0,97.15,Biogas,17.94,6.64,44.73,44.88,1.56,0.44,1.47
Vegetables,13.18,75.55,58.77,17.34,95.49,Biogas,5.03,1.99,41.43,35.84,1.34,0.42,1.16
Grains,17.59,24.13,29.63,4.12,99.13,Animal Feed,6.98,0.85,25.51,27.32,0.92,0.27,0.39
Grains,8.64,19.26,66.41,18.35,96.11,Compost,3.32,0.33,48.06,42.99,0.88,0.31,0.37
Grains,21.54,27.74,77.12,27.49,96.23,Compost,8.29,1.2,49.63,37.56,1.03,0.22,0.35
Fruits,40.09,84.41,0.69,0.33,92.55,Animal Feed,14.84,6.77,0.36,0.17,1.3,0.42,0.81
Grains,22.33,19.02,85.62,27.09,97.0,Compost,8.66,0.85,58.54,48.58,1.07,0.29,0.43
Grains,22.9,25.22,29.47,7.85,98.54,Animal Feed,9.03,1.16,21.62,19.66,0.93,0.28,0.37
Grains,47.77,23.71,41.41,9.74,99.63,Animal Feed,19.04,2.27,31.66,30.2,0.96,0.34,0.44
Fruits,45.36,60.33,91.47,16.24,80.16,Compost,14.55,5.47,75.23,77.29,1.0,0.49,1.2
Grains,15.24,16.1,9.45,14.19,98.98,Compost,6.03,0.49,-4.73,-17.03,1.02,0.24,0.39
Grains,33.02,19.42,59.39,22.46,95.72,Compost,12.64,1.28,36.93,26.35,1.09,0.3,0.42
Vegetables,47.14,85.52,78.1,11.92,98.47,Biogas,18.57,8.06,66.18,69.88,1.33,0.58,1.03
Vegetables,33.23,72.34,88.76,7.78,97.36,Animal Feed,12.94,4.81,80.97,90.94,1.36,0.53,1.43
Fruits,10.54,58.6,35.74,23.25,90.05,Compost,3.8,1.24,12.49,-3.62,1.34,0.48,0.49
Grains,12.49,12.92,10.81,16.41,98.15,Compost,4.9,0.32,-5.59,-19.84,0.87,0.29,0.34
Meat,29.2,70.66,67.6,20.87,86.28,Biogas,10.08,4.13,46.73,39.37,2.47,1.4,0.38
Meat,32.92,52.36,99.68,23.37,91.95,Compost,12.11,3.45,76.31,72.88,3.55,1.23,0.61
Grains,4.87,24.53,65.37,8.87,98.54,Animal Feed,1.92,0.24,56.5,60.7,1.0,0.28,0.42
Meat,12.78,67.1,35.36,27.01,87.95,Biogas,4.5,1.71,8.34,-11.6,3.16,0.84,0.57
Meat,4.62,60.18,68.46,18.07,88.37,Biogas,1.63,0.56,50.39,46.0,2.7,0.91,0.64
Mixed,46.95,59.25,16.93,14.89,93.02,Compost,17.47,5.56,2.04,-9.46,1.14,0.36,0.67
Grains,25.37,23.32,13.14,23.92,95.33,Compost,9.67,1.18,-10.78,-32.07,0.82,0.35,0.41
Vegetables,20.99,78.1,63.39,6.46,95.86,Animal Feed,8.05,3.28,56.93,63.15,1.69,0.36,1.39
Vegetables,42.52,79.66,29.4,14.26,95.36,Biogas,16.22,6.78,15.14,6.76,1.43,0.37,1.46
Vegetables,14.93,71.55,4.54,3.2,93.04,Animal Feed,5.55,2.14,1.34,-0.95,1.54,0.49,1.47
Fruits,31.55,48.59,6.04,17.9,87.29,Compost,11.02,3.07,-11.86,-28.55,1.33,0.52,0.83
Meat,48.92,70.18,90.37,2.95,87.76,Donation,17.17,6.87,87.42,102.54,3.49,1.16,0.58
Vegetables,40.02,76.31,12.66,20.16,90.59,Biogas,14.5,6.11,-7.5,-25.12,1.61,0.62,1.13
Vegetables,6.38,78.77,28.13,15.48,90.84,Biogas,2.32,1.0,12.65,2.79,1.34,0.58,0.93
Meat,5.64,57.42,99.14,15.8,94.27,Compost,2.13,0.65,83.34,87.37,3.05,1.14,0.49
Vegetables,39.75,73.98,73.28,3.75,92.52,Animal Feed,14.71,5.88,69.52,80.43,1.43,0.64,1.31
Vegetables,11.84,79.5,0.63,4.26,97.63,Animal Feed,4.62,1.88,-3.64,-7.77,1.27,0.6,1.45
Vegetables,14.33,73.66,8.97,26.7,94.1,Biogas,5.39,2.11,-17.73,-42.64,1.52,0.48,1.27
Mixed,10.92,71.71,47.86,15.37,95.15,Biogas,4.15,1.57,32.49,26.69,1.62,0.2,0.89
Grains,46.56,24.88,90.55,17.02,96.21,Compost,17.92,2.32,73.54,74.64,1.17,0.34,0.38
Vegetables,7.02,82.96,6.87,4.35,95.48,Animal Feed,2.68,1.16,2.51,-0.47,1.31,0.62,0.91
Grains,4.03,27.62,49.95,21.77,95.71,Compost,1.54,0.22,28.18,16.4,0.9,0.38,0.47
Grains,30.05,25.21,94.91,11.3,98.04,Compost,11.78,1.52,83.61,91.29,0.95,0.36,0.43
Grains,5.23,17.18,22.43,0.95,97.06,Animal Feed,2.03,0.18,21.49,25.03,1.01,0.36,0.45
Grains,35.52,19.09,75.19,4.59,97.3,Animal Feed,13.82,1.36,70.6,81.04,0.99,0.24,0.44
Vegetables,33.14,90.71,86.48,25.72,97.92,Biogas,12.98,6.01,60.76,52.34,1.33,0.64,1.14
Mixed,4.72,64.16,77.0,10.78,91.68,Biogas,1.73,0.61,66.22,70.83,1.08,0.49,1.07
Vegetables,11.02,70.3,83.96,7.58,93.5,Animal Feed,4.12,1.55,76.38,85.59,1.45,0.44,1.36
Vegetables,10.46,94.27,39.52,26.98,95.49,Biogas,4.0,1.97,12.54,-6.53,1.55,0.54,1.13
Vegetables,20.27,82.62,97.56,18.23,98.93,Biogas,8.02,3.35,79.33,80.61,1.54,0.6,1.1
Meat,23.04,63.3,50.74,14.43,89.29,Biogas,8.23,2.92,36.31,32.03,2.31,1.16,0.55
Vegetables,9.68,93.48,16.77,18.8,93.16,Biogas,3.61,1.81,-2.03,-17.48,1.63,0.59,1.36
Meat,14.31,68.52,68.16,9.13,92.78,Biogas,5.31,1.96,59.03,63.54,3.13,0.9,0.59
Meat,23.69,64.94,84.86,0.63,89.16,Donation,8.45,3.08,84.24,100.59,2.82,0.92,0.52
Vegetables,23.42,88.44,39.91,6.75,91.58,Animal Feed,8.58,4.14,33.16,34.39,1.36,0.41,1.05
Vegetables,36.7,85.28,72.62,21.93,90.81,Biogas,13.33,6.26,50.69,43.29,1.43,0.72,1.17
Vegetables,45.26,82.28,58.61,9.57,96.79,Animal Feed,17.52,7.45,49.04,51.19,1.57,0.46,1.07
Grains,19.33,22.81,22.38,28.06,97.44,Compost,7.53,0.88,-5.68,-29.27,0.82,0.25,0.39
Grains,3.06,12.78,49.86,11.1,95.4,Compost,1.17,0.08,38.75,37.62,0.98,0.24,0.42
Fruits,16.7,60.62,50.4,29.02,92.98,Biogas,6.21,2.03,21.38,2.45,1.62,0.37,0.61
Grains,45.34,13.58,96.77,2.91,97.42,Donation,17.67,1.23,93.85,110.3,1.17,0.29,0.43
Mixed,22.82,43.32,74.5,3.54,95.83,Animal Feed,8.75,1.98,70.96,82.32,1.32,0.31,0.54
Vegetables,10.62,83.81,56.34,23.93,98.73,Biogas,4.2,1.78,32.41,19.76,1.47,0.43,1.2
Vegetables,4.56,74.7,96.59,7.22,97.46,Animal Feed,1.78,0.68,89.37,101.47,1.71,0.73,1.04
Mixed,29.45,45.55,86.34,7.69,88.41,Animal Feed,10.41,2.68,78.65,88.22,0.85,0.39,0.92
Grains,42.35,28.41,32.11,29.06,97.43,Compost,16.5,2.41,3.05,-19.59,0.91,0.25,0.39
Grains,21.87,29.76,5.56,21.51,95.77,Compost,8.38,1.3,-15.95,-36.35,0.95,0.41,0.38
Vegetables,7.87,73.99,62.09,12.3,99.29,Biogas,3.13,1.17,49.78,49.9,1.72,0.63,0.84
Vegetables,34.79,73.24,63.1,12.55,91.91,Biogas,12.79,5.1,50.55,50.63,1.6,0.55,1.41
Vegetables,34.82,88.5,5.5,17.22,95.1,Biogas,13.25,6.16,-11.72,-27.84,1.75,0.47,1.36
Mixed,39.23,75.38,31.59,17.39,82.88,Compost,13.0,5.91,14.21,3.14,2.1,0.27,0.67
Vegetables,28.47,80.96,2.18,29.81,92.87,Biogas,10.58,4.61,-27.63,-57.0,1.56,0.63,1.21
Vegetables,35.82,73.88,58.49,2.59,95.4,Animal Feed,13.67,5.29,55.91,65.02,1.45,0.51,1.17
Fruits,27.8,81.47,72.72,25.12,96.5,Biogas,10.73,4.53,47.6,37.03,0.72,0.39,0.65
Meat,14.43,60.04,45.25,15.32,89.13,Biogas,5.14,1.73,29.92,23.65,3.43,0.74,0.5
Grains,41.18,20.35,14.69,10.26,96.15,Compost,15.84,1.68,4.44,-2.88,1.11,0.33,0.45
Mixed,45.65,65.89,41.56,2.16,92.64,Animal Feed,16.92,6.02,39.4,45.56,0.79,0.68,0.71
Grains,39.74,26.1,90.02,14.9,99.46,Compost,15.81,2.07,75.12,78.22,1.0,0.27,0.39
Meat,4.15,60.42,6.45,19.54,91.74,Biogas,1.52,0.5,-13.09,-31.33,2.91,0.92,0.42
Mixed,41.53,83.86,81.81,5.46,95.22,Animal Feed,15.82,6.96,76.35,87.25,1.27,0.51,0.29
Vegetables,47.45,70.09,69.78,24.54,99.77,Biogas,18.93,6.65,45.25,34.67,1.6,0.41,1.44
Vegetables,38.77,90.11,45.32,19.17,92.49,Biogas,14.35,6.99,26.15,16.05,1.35,0.64,1.14
Fruits,26.71,56.81,44.5,23.55,95.61,Compost,10.21,3.03,20.95,6.3,1.35,0.35,0.75
Vegetables,29.71,84.86,73.63,19.25,99.29,Biogas,11.8,5.04,54.38,49.86,1.3,0.4,0.8
Meat,41.18,73.07,81.69,14.3,89.31,Biogas,14.71,6.02,67.39,69.42,2.58,1.06,0.68
Meat,46.58,68.31,49.89,6.34,92.76,Biogas,17.28,6.36,43.55,47.18,1.99,1.19,0.49
Vegetables,25.91,84.65,47.32,25.72,92.4,Biogas,9.58,4.39,21.6,5.34,1.41,0.59,1.24
Mixed,5.53,44.31,0.21,29.04,88.57,Compost,1.96,0.49,-28.83,-57.83,0.73,0.59,1.03
Vegetables,45.94,72.73,36.27,28.75,92.38,Biogas,16.98,6.68,7.52,-13.97,1.22,0.54,1.36
Fruits,22.26,65.8,37.18,4.94,97.42,Animal Feed,8.68,2.93,32.24,34.73,1.19,0.43,0.71
Vegetables,33.19,82.77,98.74,25.61,92.31,Biogas,12.25,5.49,73.13,67.27,1.66,0.33,0.94
Vegetables,45.78,78.57,26.63,17.22,96.68,Biogas,17.7,7.19,9.41,-2.49,1.48,0.54,0.97
Mixed,23.2,82.19,64.33,15.54,96.46,Biogas,8.95,3.81,48.79,46.11,1.51,0.34,0.5
Vegetables,49.69,88.82,89.66,10.12,94.38,Biogas,18.76,8.83,79.54,87.35,1.35,0.52,1.35
Grains,35.17,16.8,0.58,2.87,95.32,Animal Feed,13.41,1.18,-2.28,-5.03,1.0,0.43,0.41
Vegetables,18.05,83.53,95.28,18.75,92.94,Biogas,6.71,3.02,76.53,76.84,1.63,0.46,1.2
Meat,22.13,50.5,46.22,27.46,91.46,Compost,8.1,2.24,18.76,0.54,2.41,0.83,0.53
Vegetables,23.59,81.53,34.95,20.39,98.11,Biogas,9.26,3.85,14.55,1.15,1.61,0.57,1.07
Meat,48.29,61.34,46.12,16.35,91.32,Biogas,17.64,5.92,29.78,22.65,2.9,0.76,0.51
Mixed,18.96,84.1,2.19,13.35,89.76,Biogas,6.81,3.19,-11.16,-24.07,0.98,0.34,0.77
Mixed,33.84,74.19,89.41,5.44,82.14,Animal Feed,11.12,5.02,83.97,96.41,0.86,0.22,0.75
Grains,29.81,20.28,40.21,0.88,99.15,Animal Feed,11.82,1.21,39.33,46.49,0.94,0.23,0.41
Meat,48.64,65.51,1.44,19.6,93.57,Biogas,18.2,6.37,-18.16,-37.47,3.73,0.69,0.51
Grains,39.32,23.89,87.29,1.27,99.94,Donation,15.72,1.88,86.01,102.2,0.73,0.32,0.39
Mixed,49.67,66.9,5.01,14.25,85.97,Biogas,17.08,6.65,-9.24,-22.49,0.65,0.33,0.62
Vegetables,36.21,79.3,77.69,22.12,91.99,Biogas,13.32,5.74,55.57,48.98,1.59,0.5,1.18
Fruits,11.03,78.65,92.68,28.91,85.42,Biogas,3.77,1.73,63.77,53.39,1.78,0.39,0.84
Vegetables,48.75,72.14,69.44,29.05,92.19,Biogas,17.98,7.03,40.39,25.23,1.53,0.5,1.79
Meat,11.98,57.57,25.74,26.64,85.98,Compost,4.12,1.38,-0.9,-22.4,2.67,0.78,0.55
Vegetables,28.77,79.94,37.92,23.49,90.74,Biogas,10.44,4.6,14.44,-1.46,1.27,0.33,1.14
Meat,40.12,73.84,50.87,8.33,92.96,Biogas,14.92,5.92,42.54,44.38,3.35,1.24,0.46
Vegetables,11.97,73.62,90.17,15.19,91.84,Biogas,4.4,1.76,74.98,77.82,1.53,0.57,1.13
Vegetables,7.92,77.72,23.6,7.97,90.44,Animal Feed,2.87,1.23,15.63,12.38,1.58,0.46,1.17
Mixed,12.54,50.76,19.7,9.89,92.36,Animal Feed,4.63,1.27,9.81,3.86,1.1,0.5,0.73
Grains,18.99,23.46,45.59,16.73,96.18,Compost,7.31,0.89,28.85,21.24,1.08,0.25,0.47
Grains,12.7,26.72,16.48,12.88,98.61,Compost,5.01,0.68,3.59,-6.0,0.94,0.4,0.41
Grains,36.28,13.85,77.23,18.76,99.11,Compost,14.38,1.0,58.47,55.16,0.88,0.27,0.3
Vegetables,19.92,77.64,31.03,6.64,95.95,Animal Feed,7.65,3.09,24.38,23.95,1.74,0.41,0.98
Vegetables,26.28,82.67,68.52,24.17,97.55,Biogas,10.26,4.35,44.35,33.89,1.55,0.37,1.0
Vegetables,37.6,92.09,46.09,1.39,97.67,Animal Feed,14.69,6.92,44.7,52.52,1.64,0.61,1.06
Vegetables,29.76,77.74,90.01,2.4,96.85,Donation,11.53,4.63,87.62,103.23,1.48,0.47,1.45
Fruits,41.6,54.49,59.26,4.17,85.38,Animal Feed,14.21,4.53,55.09,62.77,1.48,0.34,0.7
Grains,49.94,13.18,1.69,21.74,99.74,Compost,19.92,1.32,-20.05,-41.46,1.1,0.27,0.37
Grains,9.73,25.82,37.13,25.56,96.5,Compost,3.75,0.5,11.58,-6.55,0.98,0.25,0.39
Meat,22.69,68.11,68.35,18.57,90.69,Biogas,8.23,3.09,49.78,44.87,2.79,1.25,0.41
Grains,34.47,17.69,81.55,12.92,99.35,Compost,13.7,1.22,68.63,72.01,0.92,0.28,0.32
Grains,16.1,14.19,57.82,29.64,96.94,Compost,6.24,0.46,28.18,10.1,1.13,0.38,0.46
Grains,46.64,12.36,57.5,22.36,95.31,Compost,17.78,1.15,35.15,24.29,0.92,0.28,0.5
Mixed,44.03,45.33,54.47,16.6,86.09,Compost,15.16,3.99,37.87,32.17,2.0,0.33,0.69
Vegetables,35.88,88.32,25.37,7.3,90.21,Animal Feed,12.95,6.34,18.07,15.84,1.68,0.48,0.77
Vegetables,41.04,72.17,57.33,12.29,92.92,Biogas,15.26,5.92,45.04,44.22,1.56,0.5,1.18
Vegetables,14.48,89.94,69.75,27.23,99.74,Biogas,5.78,2.61,42.52,29.25,1.43,0.49,1.49
Fruits,39.63,61.38,61.03,5.58,85.55,Animal Feed,13.56,4.87,55.44,62.07,1.28,0.52,1.59
Grains,23.37,22.4,22.5,1.24,96.2,Animal Feed,8.99,1.05,21.26,24.53,0.86,0.28,0.4
Grains,11.52,29.79,27.52,24.61,97.67,Compost,4.5,0.69,2.91,-16.19,1.11,0.35,0.34
Vegetables,49.42,85.13,19.42,10.69,98.44,Biogas,19.46,8.41,8.74,1.94,1.46,0.44,1.36
Vegetables,31.06,78.61,19.55,28.88,93.09,Biogas,11.56,4.88,-9.33,-34.29,1.75,0.46,0.93
Vegetables,45.75,80.71,5.57,27.56,93.78,Biogas,17.16,7.39,-21.98,-48.43,1.63,0.37,1.13
Mixed,22.12,67.61,45.61,24.55,88.11,Biogas,7.8,2.99,21.06,5.63,1.78,0.35,0.75
Vegetables,29.52,92.02,37.8,11.78,92.18,Biogas,10.89,5.43,26.02,21.81,1.61,0.44,1.05
Fruits,31.3,58.27,4.97,19.65,89.62,Compost,11.22,3.65,-14.68,-33.33,1.02,0.38,0.58
Vegetables,3.84,82.13,37.52,11.58,99.58,Biogas,1.53,0.63,25.95,21.88,1.12,0.4,1.2
Vegetables,26.1,80.97,50.87,1.75,92.71,Animal Feed,9.68,4.23,49.12,57.54,1.52,0.45,1.02
Vegetables,47.44,83.57,65.11,21.97,90.63,Biogas,17.2,7.93,43.14,34.2,1.42,0.52,1.38
Vegetables,36.61,73.42,96.74,2.67,93.4,Donation,13.68,5.38,94.07,110.76,1.67,0.5,1.34
Grains,4.06,22.6,84.66,3.96,95.39,Donation,1.55,0.18,80.71,93.68,0.95,0.26,0.37
Vegetables,20.36,94.49,31.22,21.52,91.1,Biogas,7.42,3.85,9.7,-5.58,1.6,0.53,1.12
Vegetables,23.54,76.63,26.38,7.21,94.52,Animal Feed,8.9,3.61,19.17,17.24,1.65,0.58,1.36
Grains,31.44,10.93,80.81,16.56,98.04,Compost,12.33,0.69,64.25,63.84,1.0,0.37,0.37
Vegetables,32.18,88.72,21.09,16.76,92.49,Biogas,11.91,5.71,4.32,-8.23,1.6,0.5,1.0
Mixed,30.83,53.65,15.94,19.04,91.49,Compost,11.28,3.31,-3.09,-18.94,0.98,0.53,1.14
Grains,1.91,20.8,11.43,8.21,99.95,Animal Feed,0.76,0.08,3.23,-2.69,1.03,0.3,0.41
Grains,30.05,25.5,45.22,6.76,98.08,Animal Feed,11.79,1.53,38.46,40.74,0.95,0.34,0.41
Vegetables,20.6,87.82,76.13,9.96,90.43,Animal Feed,7.45,3.62,66.17,71.43,1.2,0.55,1.26
Grains,5.81,28.7,89.51,23.69,96.68,Compost,2.25,0.33,65.82,60.04,0.88,0.26,0.4
Mixed,30.81,63.5,59.59,25.71,89.34,Biogas,11.01,3.91,33.87,20.08,1.01,0.17,0.92
Fruits,26.42,55.64,37.78,29.82,91.51,Compost,9.67,2.94,7.96,-14.31,1.26,0.32,0.78
Vegetables,35.14,91.03,96.24,12.97,96.49,Biogas,13.56,6.4,83.27,89.55,1.84,0.56,1.03
Grains,27.03,11.09,98.16,22.11,99.76,Compost,10.79,0.6,76.06,73.58,0.99,0.28,0.42
Grains,30.96,12.13,72.51,7.49,97.8,Animal Feed,12.11,0.75,65.02,72.03,1.01,0.26,0.45
Fruits,29.09,67.29,48.89,4.92,83.04,Animal Feed,9.66,3.91,43.97,48.83,1.24,0.48,0.72
Grains,34.52,15.74,39.14,28.85,95.14,Compost,13.14,1.09,10.29,-10.74,0.96,0.24,0.38
Meat,16.67,73.79,41.07,6.99,91.46,Biogas,6.1,2.46,34.08,35.31,2.77,0.66,0.26
Vegetables,26.87,83.2,38.53,27.04,97.62,Biogas,10.49,4.47,11.49,-7.84,1.77,0.41,1.3
Fruits,32.25,69.45,42.99,18.31,81.52,Compost,10.52,4.48,24.68,14.97,1.23,0.21,0.94
Mixed,23.42,84.45,48.03,4.45,90.67,Animal Feed,8.49,3.96,43.59,48.75,1.08,0.36,0.78
Grains,37.75,19.18,6.96,17.53,95.82,Compost,14.47,1.45,-10.57,-26.71,1.0,0.26,0.33
Grains,4.05,18.05,79.75,4.86,97.07,Animal Feed,1.57,0.15,74.89,85.98,1.07,0.2,0.35
Grains,25.77,16.1,66.77,24.07,98.64,Compost,10.17,0.83,42.7,31.98,0.82,0.24,0.54
Mixed,31.84,79.35,74.68,12.37,80.02,Compost,10.19,5.05,62.31,64.88,0.76,0.42,0.81
Grains,25.0,18.74,64.62,3.48,96.45,Animal Feed,9.64,0.94,61.14,70.58,0.91,0.22,0.34
Vegetables,33.34,83.66,70.26,1.8,94.3,Animal Feed,12.58,5.58,68.46,80.71,1.44,0.39,1.25
Grains,12.81,16.31,61.18,20.04,95.98,Compost,4.92,0.42,41.14,33.34,1.02,0.33,0.46
Vegetables,22.79,85.83,67.02,13.67,96.37,Biogas,8.78,3.91,53.35,53.08,1.37,0.59,1.13
Mixed,9.79,70.38,18.65,29.35,90.38,Biogas,3.54,1.38,-10.7,-36.33,1.65,0.35,0.88
Meat,13.27,64.77,64.02,1.21,90.34,Biogas,4.8,1.72,62.81,74.41,3.24,1.14,0.45
Vegetables,35.96,70.61,4.48,21.42,95.8,Biogas,13.78,5.08,-16.93,-37.45,1.61,0.46,1.42
Mixed,36.14,66.03,75.39,23.38,84.14,Compost,12.16,4.77,52.01,43.71,1.36,0.36,1.22
Grains,46.98,29.65,66.33,3.11,99.73,Animal Feed,18.74,2.79,63.22,73.37,0.77,0.33,0.44
Vegetables,1.28,73.44,75.84,8.98,94.39,Animal Feed,0.48,0.19,66.86,73.05,1.64,0.44,0.9
Fruits,27.16,75.73,94.31,8.0,84.97,Animal Feed,9.23,4.11,86.31,97.18,1.04,0.68,0.87
Mixed,40.44,72.89,72.51,6.4,94.16,Animal Feed,15.23,5.9,66.12,74.22,0.77,0.46,0.86
Grains,22.93,13.17,46.7,17.7,97.66,Compost,8.96,0.6,28.99,20.63,0.97,0.27,0.39
Vegetables,20.7,76.44,10.03,8.94,90.31,Animal Feed,7.48,3.17,1.09,-5.84,1.6,0.45,0.97
Meat,18.86,54.0,62.76,11.85,89.04,Compost,6.72,2.04,50.91,51.61,2.9,0.91,0.51
Vegetables,34.02,87.81,58.36,2.45,96.29,Animal Feed,13.1,5.97,55.9,65.12,1.58,0.29,1.51
Grains,34.67,17.41,90.43,13.23,99.38,Compost,13.78,1.21,77.2,82.06,0.91,0.28,0.42
Meat,40.89,62.63,85.95,28.16,88.99,Biogas,14.56,5.12,57.78,46.81,2.95,1.03,0.42
Vegetables,43.33,76.46,22.28,29.07,99.71,Biogas,17.28,6.63,-6.8,-31.42,1.24,0.56,1.07
Grains,34.93,14.36,36.6,19.58,99.46,Compost,13.9,1.0,17.02,4.76,1.09,0.32,0.41
Vegetables,12.68,82.2,83.98,28.25,92.16,Biogas,4.67,2.08,55.73,44.28,1.71,0.56,1.2
Fruits,18.38,76.54,46.5,19.82,96.61,Biogas,7.1,2.81,26.68,16.16,1.24,0.43,1.03
Vegetables,13.24,80.91,36.44,24.52,96.31,Biogas,5.1,2.14,11.92,-5.32,1.48,0.55,1.07
Vegetables,34.31,77.33,49.44,1.26,97.95,Animal Feed,13.44,5.31,48.18,56.81,1.84,0.4,0.93
Vegetables,21.8,90.85,30.88,21.02,94.8,Biogas,8.27,3.96,9.86,-4.98,1.69,0.6,1.25
Fruits,10.93,56.04,61.88,26.99,97.64,Compost,4.27,1.22,34.9,20.29,1.16,0.38,0.56
Vegetables,42.65,72.34,39.25,26.9,90.42,Biogas,15.43,6.17,12.35,-6.71,1.08,0.43,1.2
Vegetables,35.59,77.56,90.0,23.69,90.45,Biogas,12.88,5.52,66.31,60.62,1.75,0.52,1.55
Vegetables,36.94,82.55,56.99,14.76,97.46,Biogas,14.4,6.1,42.23,38.86,1.23,0.39,1.2
