food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium,food_category_encoded
Vegetables,-0.4215963901861109,1.2140545095660964,-0.037079000133543066,0.612118362143627,0.23729926717759334,Biogas,7.36,3.54,28.61,17.97,1.36,0.61,1.22,4
Vegetables,-1.100557276381017,0.7984205578071784,-1.690839604601954,-1.2332775670922371,0.19297160626234558,Animal Feed,3.7,1.56,-2.73,-6.79,1.41,0.59,1.51,4
Fruits,0.5176328357168424,-0.06638973479997355,-0.3594576496121951,-1.3217003963088905,-1.123559922920494,Animal Feed,11.62,3.68,36.21,40.56,0.95,0.42,0.95,0
Vegetables,1.6711590913250625,0.8283170350389604,-0.38981148349167877,-1.6363478665084095,0.14199479620981048,Animal Feed,18.54,7.92,38.07,44.98,1.71,0.5,1.52,4
Mixed,1.5700222093189462,0.8932142661030716,1.1980080335833716,0.33306969331704644,0.6451137475978647,Biogas,18.43,7.86,66.43,65.31,1.46,0.46,0.99,3
Vegetables,-0.363601814490296,1.3150462680197983,-1.5272080173665774,-0.707333985517859,-0.12618755232743334,Animal Feed,7.54,3.8,-2.62,-10.31,1.26,0.37,1.29,4
Vegetables,0.6916165628042871,0.9952997981140344,0.7646808878555728,1.0576775535210479,0.5254290631266991,Biogas,13.54,6.0,47.7,37.77,1.42,0.38,1.09,4
Vegetables,-0.03260838247027938,0.6565945865490914,1.6243572864653122,1.187440926267565,-0.5317856497019443,Biogas,9.11,3.79,71.2,65.08,1.56,0.67,1.06,4
Fruits,-0.1252582533989594,0.3594527701600403,0.32402695463962267,-0.7475261806163378,-1.6178133421255005,Animal Feed,8.17,3.2,50.78,54.05,0.89,0.38,0.65,0
Fruits,-1.1960361510021755,-0.06165004938517878,-0.07999304113557133,0.1367021115501933,-2.6218348618558482,Compost,2.76,0.95,31.51,24.76,1.05,0.39,0.67,0
Vegetables,0.09328228184502592,0.8939434484745789,-0.5890303242409325,1.5273520619575562,-0.20376095892911772,Biogas,9.92,4.41,4.81,-16.97,1.19,0.52,1.45,4
Fruits,1.686011360710576,0.4717468553720992,1.3274479458740425,-0.6028342782618146,-1.6111641929882132,Animal Feed,17.07,6.99,78.29,86.05,1.48,0.28,0.81,0
Grains,1.4214995154638106,-1.2057371902794634,0.10457222463737997,1.3665832815636414,1.2922975969604733,Compost,18.15,2.28,26.09,9.7,1.01,0.29,0.47,1
Grains,-0.8346309292880122,-1.4401693227189232,1.0587990713084987,-0.12512133080561066,0.7758803472978445,Compost,5.28,0.51,66.44,68.5,1.03,0.28,0.39,1
Fruits,-0.534756537885262,0.9070687311617026,1.6871583220780364,-0.00569309394155959,-2.284944638899971,Compost,5.95,2.95,83.41,88.03,0.93,0.32,0.95,0
Mixed,0.03104420061049295,0.11007239910468969,-0.8398855720495374,-1.0024595323838312,-1.3296835461763947,Animal Feed,9.07,3.15,19.65,18.46,1.33,0.2,0.69,3
Fruits,0.3556723743224323,0.5891452171847058,-0.3413151282129638,-0.11478619492314472,0.6960905576503997,Biogas,11.8,4.51,26.21,20.15,1.18,0.3,0.68,0
Fruits,0.22129469892969064,-0.18451727898408712,1.1913790353798064,0.2848390591988722,-0.15721691496810647,Compost,10.62,3.02,66.66,65.91,0.82,0.4,0.97,0
Vegetables,-1.4181129408617592,0.8578489210849883,1.5011974777359136,1.0944247033253711,0.7625820490232698,Biogas,2.05,0.86,68.49,62.47,1.53,0.37,1.07,4
Grains,-1.2455437156205542,-1.65199680164167,0.7346759486183821,1.4917532605846178,0.3193054398707984,Compost,2.94,0.2,43.05,29.17,0.91,0.31,0.36,1
Fruits,-1.5199570737909953,-0.38650079589149106,0.0033927783724350545,0.9531778462650036,-0.11067287100709834,Compost,1.43,0.36,26.78,13.4,0.56,0.32,0.88,0
Vegetables,1.2998523566872233,0.4779449055299072,1.5099198437932364,-0.4696258602211423,0.8290735403961399,Biogas,17.1,6.23,82.36,90.0,1.19,0.6,1.38,4
Grains,0.3691101418617066,-1.3749075004690579,1.419207236797079,0.4949868221423463,1.1903439768554063,Compost,12.14,1.25,71.36,70.09,1.07,0.23,0.41,1
Grains,1.1039438509830684,-1.4288669959605664,-0.11627808393403433,-1.0139430166976822,0.8224243912588557,Animal Feed,16.01,1.56,40.49,43.56,1.04,0.26,0.3,1
Mixed,-1.5326875904071497,0.7557633890740262,1.6243572864653122,-0.7647514070871142,-1.0814486450510097,Animal Feed,1.3,0.58,88.21,99.09,1.14,0.25,0.98,3
Grains,1.7234956596359199,-1.115318576212611,0.9049365340573239,0.27680062017917645,0.7980441777554699,Compost,19.41,2.74,58.52,56.2,0.96,0.23,0.34,1
Vegetables,1.3210698843808144,0.700345528839504,0.10980564427177364,-0.9634156857167375,1.305595895235048,Animal Feed,17.59,6.81,46.53,50.46,1.24,0.44,1.33,4
Vegetables,0.39810742970961405,0.4670071699573042,1.3295413137278,0.6362336792027143,1.2435371699537017,Biogas,12.34,4.39,67.56,64.55,1.46,0.57,0.61,4
Vegetables,-0.17052231247861985,0.8206606201381379,0.553250734626067,0.2044546690019145,1.2213733394960793,Biogas,9.12,3.7,49.07,45.37,1.77,0.5,1.42,4
Vegetables,0.34577086139875657,0.4422149693260708,0.908774375122546,-0.009138139235715036,-0.18381351151725575,Biogas,11.26,4.25,61.12,61.31,1.46,0.54,1.4,4
Fruits,-1.5800734022561693,0.849098732626906,1.1571873604351006,0.5776679092020738,-2.3381378319982664,Compost,0.99,0.48,63.13,59.63,0.76,0.38,0.99,0
Vegetables,1.461812818081633,0.6536778570630639,0.16248873525800378,0.7143213725369014,-0.3633405382240072,Biogas,17.0,7.0,33.43,23.05,1.5,0.35,1.15,4
Fruits,1.522636397469927,0.6234167886455287,0.7276980557725238,1.6835274486259306,-0.5162709683816094,Biogas,17.19,7.06,41.19,25.6,1.28,0.3,0.77,0
Meat,-1.661407258414934,0.15309415902359522,1.5388780991035482,0.6637940415559567,-0.6492539511273495,Biogas,0.66,0.23,73.32,71.26,3.56,1.19,0.35,2
Vegetables,-0.6026526265047527,1.2702015521721253,-1.5791933190682215,-0.7578613164988037,1.06179376020119,Animal Feed,6.64,3.13,-3.67,-11.22,1.56,0.45,1.18,4
Grains,0.305457558780934,-1.2954266219748087,1.0961307980338408,0.8567165780286543,0.9997350349198436,Compost,11.68,1.34,58.95,52.68,0.9,0.28,0.41,1
Fruits,0.5883579280288117,0.5424775454082659,1.6543622257025026,1.6685989190179238,-2.036709737774586,Compost,11.42,4.92,67.88,57.74,1.01,0.33,0.61,0
Meat,0.46034551094414705,0.1746050389830481,1.2335952870972486,-1.219497385915616,0.139778413164047,Donation,12.06,4.01,80.98,93.58,3.16,1.03,0.39,2
Mixed,0.03953121168792934,0.8560259651562212,0.4384643973116984,0.0011969966467511,-1.7773929214203898,Biogas,8.9,4.23,47.55,44.95,0.83,0.39,1.16,3
Mixed,0.6788860461881321,-0.25160205716271933,1.4624701724414002,1.0393039786188865,0.5076979987606006,Compost,13.46,3.58,67.86,62.1,0.93,0.26,0.6,3
Vegetables,0.9469341460504964,1.2621805460855497,0.5863957256438939,-0.03784685002034267,-0.7290437407747942,Biogas,14.05,7.18,52.13,50.73,1.32,0.52,1.46,4
Grains,-1.6012909299497602,-1.2017266872361756,-0.16407664992816368,-0.25947809727766796,0.24173203326911716,Compost,1.02,0.13,32.55,28.77,0.88,0.29,0.37,1
Meat,-0.051704157394511334,0.41961031580935754,1.5559739365759007,-1.4790241314086499,-1.848317178884787,Donation,8.43,3.43,92.47,109.17,3.47,1.05,0.36,2
Vegetables,-1.176940376077944,1.014258539773213,-1.3150800748524858,1.5147202292123199,-0.019801166130842467,Biogas,3.26,1.49,-15.89,-41.72,1.38,0.41,1.5,4
Vegetables,0.7524401421925807,0.9077979135332093,-0.3664355424580535,0.2917291497871827,-0.4098845821850153,Biogas,13.26,5.97,21.95,12.21,1.7,0.53,1.27,4
Vegetables,0.6711062860338155,0.7116478555978605,0.9143566893992324,-0.9048499157160971,0.966489289233407,Animal Feed,13.7,5.41,69.08,77.1,1.34,0.44,0.91,4
Meat,0.2856545329335828,0.5997183615715552,-0.3999294281181733,0.8590132748914249,0.20405352149115671,Biogas,11.15,4.38,16.05,1.18,3.02,1.07,0.55,2
Mixed,-1.6380679779519842,0.21872057245921372,1.60133024007398,0.16655917076620622,-2.2516988932135344,Compost,0.72,0.28,79.45,82.08,0.77,0.65,1.09,3
Fruits,-0.6111396375821888,0.05465453887016745,0.3397272135428039,0.26302043900255506,-1.2432446073916628,Compost,5.9,1.99,42.45,37.01,1.85,0.32,0.51,0
Grains,-0.5001012426523971,-1.5273066161139945,-1.5352325941393143,-0.23191773492442544,0.8822667334944385,Compost,7.15,0.6,-6.99,-18.87,0.96,0.27,0.44,1
Mixed,1.0226099948243037,-0.16300639902463424,1.7199544184535702,1.2609352258762119,0.5697567240419469,Compost,15.38,4.28,73.3,67.09,0.83,0.35,0.76,3
Grains,0.5897724298750509,-1.2684468742290544,0.6478011826874469,-1.53529320454652,0.4190426769301051,Animal Feed,12.92,1.58,66.92,78.9,0.99,0.23,0.51,1
Grains,0.3040430569346947,-1.7096022089907128,-1.1838956893503503,0.10799340076556567,0.3547675686029985,Compost,11.33,0.67,0.13,-12.69,0.96,0.31,0.5,1
Mixed,-1.6656507639536522,0.3904430209490827,-0.3137524514718236,-0.9289652327751844,-2.825742102065986,Animal Feed,0.57,0.24,34.09,35.28,1.6,0.37,0.97,3
Grains,1.044534773441014,-1.1506839212306945,-1.0080527896347218,0.8073375954790949,1.1415835498486346,Compost,15.91,2.14,-0.93,-18.84,0.86,0.36,0.37,1
Mixed,-1.6720160222617295,0.05866504191345523,-1.1751733232930275,-1.665056577293037,-0.5362184157934713,Animal Feed,0.61,0.2,15.82,18.49,0.94,0.45,0.82,3
Meat,-1.4428667231709487,-0.17066281392545643,-0.3755068031576692,0.9302108776373011,-0.737909272957845,Compost,1.78,0.53,16.13,0.79,3.16,1.32,0.59,2
Mixed,-0.7801726082077958,0.48961182347401744,0.2141251423173549,0.6752775258698078,0.5830550223165184,Biogas,5.53,2.05,35.25,25.49,1.54,0.52,0.84,3
Mixed,-1.6027054317959997,-0.5567648796383461,0.4234619276931031,-0.6177628078698207,-2.8102274207456475,Animal Feed,0.86,0.23,52.51,55.21,0.74,0.34,0.88,3
Grains,-0.9718376083732326,-1.126256311785214,1.7025096863389246,0.763700355086461,0.8534537538995288,Compost,4.53,0.63,77.14,75.15,1.01,0.33,0.4,1
Vegetables,0.7199065997290748,0.8053477903364935,-1.5258124387974057,-0.7371910447338719,-0.2237084063409797,Animal Feed,13.21,5.7,-2.31,-9.73,1.49,0.52,1.15,4
Vegetables,-1.1620881066924305,0.8928496749173186,-0.09743777325021702,0.1987129268449893,-0.8775414048408725,Biogas,3.2,1.47,30.47,23.08,1.58,0.48,0.99,4
Fruits,-1.0595367228400747,0.766336533460876,-1.673045977845015,0.3101027246893444,-0.0973745727325237,Biogas,3.87,1.64,-15.66,-33.04,0.78,0.36,0.85,0
Fruits,0.30616480970405385,-0.31394714992655703,0.7147889540076858,1.0542325082268929,-2.7592506106931154,Compost,9.68,2.94,46.3,36.12,1.52,0.5,1.12,0
Grains,-1.3353645828567553,-1.2600612769567254,1.2210350799747038,0.6006348778297762,1.2945139800062369,Compost,2.57,0.3,64.76,61.43,0.82,0.35,0.36,1
Vegetables,1.5862889805506994,0.8407131353545768,0.8348087109564486,1.0174853584225694,-0.616008205440916,Biogas,17.43,7.76,50.06,40.88,1.56,0.42,1.02,4
Meat,-1.0185161692991325,0.32919170174250506,1.1655608318501305,-0.3915381668869549,-1.9879493107678146,Biogas,3.71,1.47,71.81,76.81,2.93,0.83,0.34,2
Vegetables,-0.4986867408061575,0.8844640776449894,-0.8845440862630303,-1.4181616645452393,1.1992095090384538,Animal Feed,7.27,3.01,21.99,24.17,1.42,0.46,1.22,4
Vegetables,-0.7688565934378806,0.895766404403346,1.5032908455896712,1.2850505429352987,1.2657010004113272,Biogas,5.76,2.39,66.89,59.23,1.29,0.47,1.02,4
Vegetables,0.7029325775742019,0.51002892987621,0.46288702227220246,0.2974708919441083,0.6761431102385378,Biogas,13.69,5.09,45.67,40.63,1.51,0.55,0.93,4
Grains,-1.6288737159514282,-1.3577717147386466,-0.784760218567257,0.7154697209682868,0.8623192860825765,Compost,0.89,0.1,6.27,-9.56,1.0,0.27,0.37,1
Grains,1.2114459912972615,-1.5422548547298853,1.589816716878314,-0.6671417904193803,1.214724190358792,Animal Feed,16.9,1.35,86.37,96.19,0.94,0.37,0.39,1
Vegetables,-1.0623657265325535,1.1651992906751358,-0.23525115695591803,-0.3191922157096934,-0.2924162807596101,Biogas,3.82,1.86,31.03,27.37,1.42,0.41,0.85,4
Grains,1.1032366000599483,-1.1601632920602838,1.7035563702658034,0.3675201462585997,1.0883903567503361,Compost,16.2,2.16,80.62,82.09,1.01,0.3,0.45,1
Grains,0.8953048286627585,-1.5885579353205719,-1.2770505588425582,-0.651064912379989,0.39022969733519547,Animal Feed,14.55,1.11,4.06,-2.68,1.01,0.26,0.46,1
Vegetables,1.625895032245402,1.066030488150201,-0.9365293879646744,0.5455141531232911,0.2727613959097903,Biogas,18.41,8.45,3.4,-11.82,1.68,0.5,0.92,4
Grains,0.5643113966427419,-1.2575091386564514,-1.0820184538008195,0.44331114273001665,0.22843373499454253,Compost,12.66,1.58,0.13,-15.03,0.95,0.3,0.37,1
Grains,0.3104083152427719,-1.537150578129337,1.5231778402003668,-1.0059045776779862,0.9132960961351116,Animal Feed,11.67,0.95,87.41,99.81,1.02,0.36,0.43,1
Vegetables,-1.2031086602333725,1.1013958331682843,-0.5482096510926616,-0.7360426963024865,-0.0020701017647439886,Animal Feed,3.12,1.47,25.69,23.86,1.3,0.31,1.33,4
Grains,-0.551023309117015,-1.3581363059243998,-1.5104610745365175,-1.4663922986634137,1.06179376020119,Animal Feed,6.93,0.73,4.47,3.49,0.88,0.35,0.46,1
Grains,0.4957080571001317,-1.6035061739364629,-1.1587752751052605,0.8521231843031141,1.0307643975605167,Compost,12.76,0.92,-5.65,-24.81,1.01,0.33,0.41,1
Vegetables,0.23968322293080255,0.9329547053501964,1.1575362550773938,-1.2103105984645353,-0.04418137963422827,Donation,10.78,4.81,78.71,90.79,1.2,0.51,1.27,4
Grains,-1.6698942694923704,-1.1393815944723378,-1.419399572898067,0.08502643213786364,1.0041678010113675,Compost,0.67,0.09,-6.43,-20.4,1.03,0.39,0.41,1
Vegetables,1.6513560654777109,1.211137780080069,0.808292718142187,0.8004475048907843,0.7204707711537855,Biogas,18.94,8.9,51.19,43.75,1.46,0.55,1.14,4
Vegetables,-0.46827495111201073,0.44768383711237203,1.009953821387491,-1.0426517274823097,1.305595895235048,Animal Feed,7.47,2.64,73.02,82.79,1.63,0.51,0.99,4
Grains,0.3853769130934596,-1.641059066069067,1.4624701724414002,1.2953856788177647,1.0662265262927137,Compost,12.17,0.81,65.63,57.63,0.9,0.27,0.3,1
Grains,-0.47464020942008794,-1.5203793835846793,-0.6640426723339089,-1.0816955741494032,0.5010488496233133,Animal Feed,7.17,0.61,25.37,25.89,1.14,0.37,0.41,1
Grains,-1.4803510220962925,-1.2462068118980947,1.3239589994511134,0.7740354909689269,0.7780967303436079,Compost,1.71,0.21,66.2,61.95,0.81,0.3,0.38,1
Vegetables,1.1626456776020029,1.0514468407200632,0.5633686792525617,0.8360463062637224,-0.8332137439256279,Biogas,15.08,7.27,43.86,34.71,1.69,0.53,1.01,4
Meat,0.5664331494121011,0.399193209407165,0.7946858270927633,-0.2652198394345934,-0.737909272957845,Biogas,12.09,4.61,60.07,61.84,3.19,0.96,0.5,2
Vegetables,-1.4909597859430879,1.0211857723025282,-0.6378755741619404,-0.8520258878723823,1.234671637770654,Animal Feed,1.69,0.73,24.13,22.8,1.5,0.54,1.8,4
Vegetables,-0.7738073498997186,0.8392547706115634,0.836553184167913,-1.3572991976818287,-0.4652941583290742,Animal Feed,5.29,2.34,70.78,82.3,1.55,0.45,1.09,4
Grains,0.9815894412833611,-1.2283418437961764,-0.8353499416997294,1.4492643686233688,1.2590518512740398,Compost,15.64,1.92,-1.57,-24.08,1.01,0.34,0.45,1
Vegetables,1.4165487590019732,0.714929176269641,0.5759288863751065,-0.47766429924083786,-0.616008205440916,Biogas,16.56,7.06,55.66,58.02,1.4,0.57,1.27,4
Vegetables,1.1569876702170454,0.5854993053271711,-1.055153566344265,-1.251651141994399,-0.07964350836642523,Animal Feed,15.62,6.19,15.65,15.4,1.64,0.46,1.7,4
Vegetables,1.2715623197624357,0.45862157268497555,0.3536829992345204,1.1943310168558754,1.2612682343198,Biogas,17.28,6.13,34.73,21.26,1.46,0.49,1.04,4
Vegetables,1.0523145335953306,0.7893057781633424,-0.12779160712970042,1.079496173717365,-0.5517330971138062,Biogas,14.73,6.42,21.92,6.69,1.53,0.44,1.21,4
Meat,-0.025535873239082598,0.4845075468734693,0.2074961441137896,-0.5121147521823911,-1.7463635587797168,Biogas,8.6,3.57,45.4,45.95,3.44,1.11,0.7,2
Grains,-0.8268511691336955,-1.436523410861389,1.2241751317553402,-0.42369192296573804,0.5143471478978879,Compost,5.25,0.51,73.77,79.37,1.05,0.28,0.36,1
Meat,-1.1125805420740518,0.0874677455879767,-0.09325103754270214,1.2379682572485093,-1.757445474008528,Biogas,3.3,1.16,21.54,5.13,3.16,0.8,0.37,2
Vegetables,-1.6529202473374975,1.0241025017885554,-0.10720682323441864,-0.25488470355212745,-0.7866696999646166,Biogas,0.7,0.34,34.14,30.65,1.6,0.51,1.25,4
Grains,-1.4053824242456048,-1.0795886400087742,0.28809080648345253,-1.1046625427771055,0.8977814148147735,Animal Feed,2.14,0.31,52.87,59.03,1.03,0.23,0.47,1
Grains,-1.523493328406594,-1.3136561812624805,1.2185928174786536,1.642186905096067,0.8179916251673287,Compost,1.47,0.17,55.62,43.2,1.13,0.34,0.41,1
Mixed,0.9568356589741722,0.9052457752329355,-0.6567158848457577,-0.36627450139648277,0.3392528872826604,Biogas,14.86,6.45,19.36,13.69,1.1,0.42,1.07,3
Meat,1.4526185560810774,-0.21951803281641707,-0.5091334511558551,-1.5766337480763837,-0.10402372186981103,Compost,17.17,4.79,34.13,39.84,2.98,0.87,0.6,2
Vegetables,-0.06655642678002471,0.5169561624055252,1.1428826801010914,1.254045135287901,-0.47415969051212503,Biogas,8.96,3.53,56.83,47.36,1.55,0.62,0.97,4
Grains,1.443424294080521,-1.1415691415868585,-0.8036005292510744,-1.5054361453305074,1.0152497162401786,Animal Feed,18.04,2.46,25.08,28.49,1.05,0.27,0.41,1
Vegetables,-1.1705751177698664,1.2322840688537682,-0.9839790593165108,1.6536703894099176,-0.37220607040705483,Biogas,3.24,1.61,-7.61,-32.75,1.52,0.54,1.2,4
Fruits,-1.6281664650283085,0.8910267189885515,0.508592220412574,-0.9829376090502843,-0.24365585375283852,Animal Feed,0.85,0.38,58.13,64.5,0.72,0.42,0.68,0
Meat,-1.4174056899386398,0.14689610886578697,-1.5429082762697583,1.1587322154829374,-1.9901656938135779,Biogas,1.79,0.66,-19.32,-43.36,2.78,0.81,0.55,2
Mixed,0.6251349760310355,-0.314676332298064,0.5846512524324294,0.17344926135451672,-1.6843048334983706,Compost,11.82,3.39,50.24,46.99,1.02,0.64,0.69,3
Vegetables,1.367748445306714,0.5038308797184015,-0.9330404415417453,1.5801760898012709,0.12869649793523583,Biogas,16.91,6.43,-5.51,-29.72,1.68,0.56,1.1,4
Grains,-0.6903517409715946,-1.0799532311945277,-1.0527113038482148,1.6088848005858984,1.0241152484232294,Compost,6.14,0.89,-9.19,-34.33,0.9,0.26,0.33,1
Grains,1.3861369693078258,-1.5050665537830348,1.3961801904057463,-0.6774769263018462,1.1570982311689697,Animal Feed,17.84,1.52,80.91,89.72,0.98,0.34,0.44,1
Grains,1.277927578070513,-1.1900597692920656,-0.7502196489802586,-0.036698501588957384,0.6406809815063408,Compost,16.83,2.22,13.82,4.74,1.08,0.27,0.43,1
Grains,0.08479527076758978,-1.3603238530389206,0.5009165382821299,1.3975886892110392,0.5719731070877072,Compost,10.25,1.11,37.18,22.79,1.05,0.27,0.41,1
Meat,-1.5616848782550572,0.4648196228427835,0.1610931566888319,-0.15268169315885322,0.17967330798777092,Biogas,1.23,0.46,40.94,38.1,1.73,1.1,0.5,2
Vegetables,0.559360640180904,0.6394588008186799,-1.387999055091705,-0.838245706695761,-0.6714177815849749,Animal Feed,12.1,5.03,2.51,-3.24,1.72,0.28,1.1,4
Vegetables,0.21988019708345127,1.114521115855408,-1.5275569120088703,-0.47881264767222315,-0.4697269244206012,Biogas,10.45,5.05,-4.62,-14.3,1.15,0.55,1.31,4
Mixed,-0.3607728107978173,0.1993972396142818,-0.5039000315214615,1.6594121315668433,-1.7042522809102325,Biogas,6.98,2.57,6.11,-16.33,1.29,0.41,0.77,3
Meat,-0.1634498032474228,-0.28842576692381666,-1.1120233930380101,-1.6604631835674966,-0.859810340474774,Compost,8.3,2.31,17.58,20.57,1.72,1.0,0.54,2
Vegetables,1.462520069004753,1.3380155127222646,0.7182779004306152,-0.2927802017878359,1.1903439768554063,Biogas,18.3,8.73,58.14,59.71,1.58,0.67,1.4,4
Grains,-1.2978802839314114,-1.5641303258750916,-1.638156513615724,1.4573028076430645,1.1305016346198236,Compost,2.76,0.21,-24.65,-51.82,1.23,0.3,0.45,1
Meat,-0.2843897111008905,0.24606491139072148,-1.7093310206434784,-0.9530805498342716,-1.0592848145933873,Biogas,7.6,2.77,-5.69,-12.28,3.5,0.98,0.46,2
Vegetables,-1.6097779410271964,0.9839974713556777,1.7360035719990445,1.5170169260750899,0.35698395164875885,Biogas,0.97,0.43,71.53,63.17,1.4,0.52,1.03,4
Vegetables,1.0367550132866974,0.752117477216492,0.8651625448359317,-0.8887730376767057,-0.7622894864612308,Animal Feed,14.49,6.3,67.53,75.13,1.29,0.38,1.62,4
Vegetables,-0.6507456892768918,0.7605030744888207,-0.38876479956480003,-0.052775379628348926,1.3122450443723352,Biogas,6.44,2.55,24.32,17.45,1.56,0.42,1.53,4
Grains,1.151329662832088,-1.4186584427594702,-1.5432571709120513,0.087323129000634,0.5320782122639864,Compost,16.05,1.61,-10.0,-24.71,1.05,0.32,0.49,1
Vegetables,-1.6182649521046328,0.9883725655847186,-1.262048089223963,0.7602553097923055,-0.23257393852402736,Biogas,0.9,0.41,-7.8,-26.74,1.33,0.55,1.26,4
Grains,-1.3311210773180373,-1.2826659304734385,0.028164297975231956,-1.3366289259168966,0.880050350448675,Animal Feed,2.55,0.3,47.45,54.16,1.08,0.3,0.41,1
Grains,-1.0878267597648625,-1.3224063697205628,-0.11348692679569108,-1.4560571627809478,0.9731384383706944,Animal Feed,3.91,0.44,44.42,51.35,1.0,0.25,0.4,1
Grains,1.0197809911318245,-1.055890212934801,-1.2407655160440951,-0.2330660833558105,0.36806586687757004,Compost,15.21,2.32,1.46,-8.72,1.25,0.36,0.41,1
Grains,0.7071760831129202,-1.1284438588997348,-1.4947608156333363,-1.5938589745471603,0.4035279956097701,Animal Feed,13.55,1.93,6.02,6.23,1.07,0.36,0.44,1
Vegetables,-1.41669843901552,0.9285796111211555,-0.6322932598852538,-0.8979598251277865,-0.4276156465511138,Animal Feed,1.95,0.88,24.69,23.79,1.47,0.61,1.41,4
Vegetables,1.0417057697485352,0.9643095473249919,0.803059298507793,1.4584511560744498,-0.3411767077663817,Biogas,14.82,6.78,45.31,32.11,1.76,0.45,1.56,4
Meat,-0.18749633463349238,-0.1619126254673739,-1.5777977404990498,1.3734733721519519,-0.22592478938674004,Compost,8.43,2.44,-22.19,-48.3,2.6,0.99,0.4,2
Grains,-0.7455173129749307,-1.2352690763254917,-0.040219051914179155,-1.4284968004277052,1.1859112107638823,Animal Feed,5.87,0.72,46.28,53.4,1.1,0.26,0.43,1
Meat,1.217811249605339,-0.20092388234299163,0.41578624556265903,0.5535525921429869,-0.20376095892911772,Compost,15.85,4.48,42.09,34.56,2.66,1.24,0.51,2
Grains,1.249637541145725,-1.313291590076727,1.4390942314077748,0.612118362143627,1.2102914242672682,Compost,17.11,1.91,70.91,68.73,1.07,0.24,0.42,1
Grains,1.695912873634252,-1.703039567647151,1.4513055438880267,0.6178601043005526,0.6783594932843012,Compost,19.15,1.13,71.21,69.05,1.07,0.23,0.47,1
Vegetables,0.38679141493969893,1.3139524944625378,-1.0495712520675784,-0.8887730376767057,1.285648447823186,Animal Feed,12.3,5.8,12.65,9.28,1.45,0.58,1.26,4
Mixed,-1.250494472082392,-0.3504062685019007,1.4443276510421688,-0.3857964247300295,-1.442719081510276,Compost,2.67,0.74,79.75,86.29,1.72,0.55,0.89,3
Grains,0.7149558432672368,-1.2742803332011094,-0.9271092326227658,-0.15842343531577863,0.6273826832317662,Compost,13.73,1.65,9.79,0.76,0.98,0.21,0.35,1
Grains,0.8521625223524573,-1.189695178106312,0.5005676436398369,1.3884019017599585,0.6185171510487185,Compost,14.48,1.91,37.26,22.94,1.14,0.29,0.38,1
Grains,1.0523145335953306,-1.0427649302476771,-0.44179678519332277,0.2113447595902254,0.986436736645269,Compost,15.84,2.38,20.48,11.01,1.23,0.27,0.4,1
Meat,-0.20093410217276667,0.5756553433118284,-0.7149812901086743,-1.403233134937233,-1.4094733358238394,Biogas,7.88,3.33,26.72,29.74,2.74,1.31,0.64,2
Grains,0.11308530769237743,-1.176569895419188,0.6286119773613362,1.6594121315668433,1.2767829156401382,Compost,10.75,1.4,38.55,22.61,0.99,0.31,0.37,1
Mixed,0.7496111385001015,0.19210541589921296,0.7430494200334119,-0.2583297488462829,-2.4755535808355336,Compost,11.91,4.56,58.54,59.95,1.6,0.22,0.97,3
Meat,-1.2214971842344846,-0.15133948108052425,-0.11418471608027678,1.4194073094073563,-1.651059087811937,Compost,2.79,0.87,19.36,1.25,3.69,0.88,0.57,2
Grains,-0.9909333832974644,-1.5506404520022146,-0.9693254843402084,0.6281952401830185,1.2235897225418397,Compost,4.5,0.35,1.74,-14.38,1.19,0.22,0.29,1
Meat,-0.7667348406685215,0.41997490699511114,-1.055851355628851,-1.7247706957250624,-0.11732202014438567,Biogas,5.41,2.02,19.75,23.62,2.63,1.16,0.46,2
Fruits,-0.5878003571192391,0.016007873180303073,0.09131422823024916,-0.6143177625756655,-1.3407654614052058,Animal Feed,5.98,1.99,42.96,43.74,1.07,0.49,0.85,0
Vegetables,0.44337148878927424,0.8370672234970427,-0.2945632461457132,0.9830349054810161,1.1149869532994854,Biogas,12.52,5.13,17.99,2.65,1.67,0.81,0.76,4
Grains,-0.7858306155927534,-1.1291730412712417,-1.6304808314852797,1.0565292050896629,0.86453566912834,Compost,5.56,0.77,-20.93,-44.57,1.17,0.37,0.35,1
Vegetables,0.7821446809636075,0.5049246532756618,0.5302236882347348,-1.1460030863069695,-0.0729943592291379,Animal Feed,13.64,5.24,60.17,68.09,1.73,0.5,1.05,4
Vegetables,1.5042478734688147,0.8330567204537549,-0.9368782826069674,1.5790277413698859,0.8756175843571512,Biogas,18.26,7.55,-5.61,-29.83,1.44,0.57,1.17,4
Grains,-0.34026253402734624,-1.1452150534443928,-0.5276248671973796,-0.6763285778704611,0.30157437550469995,Animal Feed,7.82,1.1,25.75,23.52,1.01,0.21,0.34,1
Vegetables,-1.1203603022283684,1.0135293574017061,1.6411042292953721,-0.5339333723787081,1.1327180176655838,Biogas,3.76,1.63,86.67,95.63,1.12,0.51,1.26,4
Vegetables,0.36486663632298827,1.136396587000614,1.6030747132854444,-1.167821706503286,0.10431628443185002,Donation,11.53,5.45,91.11,105.37,1.43,0.64,1.37,4
